parent_directory,is_file,name,size_in_bytes
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,Core.pdb,159484
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,Core.Sdk.dll,14168
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,Core.Sdk.pdb,10096
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,coreclr.dll,5121168
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,createdump.exe,57552
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,dbgshim.dll,140432
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,discord_game_sdk.bundle,4130000
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,discord_game_sdk.dll,3891512
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,discord_game_sdk.dll.lib,2352
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,discord_game_sdk.dylib,4130000
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,discord_game_sdk.so,7122200
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,discord_game_sdk_x86.dll,3154744
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,discord_game_sdk_x86.dll.lib,2358
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,Fleck.dll,53320
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,hostfxr.dll,374936
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,hostpolicy.dll,391832
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,libdiscord_game_sdk.dylib,4130000
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,Microsoft.CSharp.dll,351816
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,Microsoft.DiaSymReader.Native.amd64.dll,1813896
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,Microsoft.Win32.Primitives.dll,16968
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,Microsoft.Win32.Registry.dll,27208
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,mscordaccore.dll,1321864
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,mscordaccore_amd64_amd64_6.0.422.16404.dll,1320824
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,mscordbi.dll,1267320
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,mscorlib.dll,58520
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,mscorrc.dll,147088
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,msquic.dll,499584
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,netstandard.dll,26696
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,Newtonsoft.Json.dll,669096
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,SimpleInjector.dll,396872
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.CodeDom.dll,181832
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Collections.Concurrent.dll,47688
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Collections.dll,44104
D:/Games/PlariumPlay\8.1.0-0.0.0\dotnet,True,System.Collections.Immutable.dll,32840
